wavelength,transmittance
4000,97.55
3999.75,97.55
3999.5,97.55
3999.25,97.55
3999,97.55
3998.75,97.55
3998.5,97.55
3998.25,97.54
3998,97.54
3997.75,97.54
3997.5,97.54
3997.25,97.55
3997,97.56
3996.75,97.56
3996.5,97.56
3996.25,97.55
3996,97.55
3995.75,97.55
3995.5,97.55
3995.25,97.56
3995,97.57
3994.75,97.56
3994.5,97.56
3994.25,97.56
3994,97.55
3993.75,97.56
3993.5,97.56
3993.25,97.56
3993,97.55
3992.75,97.55
3992.5,97.56
3992.25,97.56
3992,97.56
3991.75,97.56
3991.5,97.56
3991.25,97.55
3991,97.54
3990.75,97.54
3990.5,97.55
3990.25,97.56
3990,97.57
3989.75,97.57
3989.5,97.57
3989.25,97.56
3989,97.55
3988.75,97.55
3988.5,97.55
3988.25,97.55
3988,97.56
3987.75,97.56
3987.5,97.56
3987.25,97.56
3987,97.56
3986.75,97.56
3986.5,97.56
3986.25,97.56
3986,97.56
3985.75,97.55
3985.5,97.55
3985.25,97.56
3985,97.57
3984.75,97.57
3984.5,97.57
3984.25,97.56
3984,97.55
3983.75,97.55
3983.5,97.56
3983.25,97.56
3983,97.57
3982.75,97.57
3982.5,97.56
3982.25,97.55
3982,97.55
3981.75,97.55
3981.5,97.55
3981.25,97.56
3981,97.56
3980.75,97.56
3980.5,97.55
3980.25,97.55
3980,97.55
3979.75,97.55
3979.5,97.55
3979.25,97.55
3979,97.55
3978.75,97.56
3978.5,97.56
3978.25,97.56
3978,97.56
3977.75,97.55
3977.5,97.55
3977.25,97.55
3977,97.56
3976.75,97.56
3976.5,97.55
3976.25,97.55
3976,97.55
3975.75,97.55
3975.5,97.56
3975.25,97.56
3975,97.56
3974.75,97.56
3974.5,97.55
3974.25,97.55
3974,97.55
3973.75,97.55
3973.5,97.55
3973.25,97.55
3973,97.55
3972.75,97.55
3972.5,97.56
3972.25,97.56
3972,97.56
3971.75,97.55
3971.5,97.54
3971.25,97.54
3971,97.54
3970.75,97.54
3970.5,97.55
3970.25,97.55
3970,97.56
3969.75,97.56
3969.5,97.56
3969.25,97.56
3969,97.56
3968.75,97.55
3968.5,97.55
3968.25,97.56
3968,97.56
3967.75,97.57
3967.5,97.57
3967.25,97.56
3967,97.56
3966.75,97.56
3966.5,97.56
3966.25,97.56
3966,97.56
3965.75,97.56
3965.5,97.55
3965.25,97.55
3965,97.56
3964.75,97.56
3964.5,97.56
3964.25,97.56
3964,97.56
3963.75,97.56
3963.5,97.56
3963.25,97.56
3963,97.56
3962.75,97.56
3962.5,97.56
3962.25,97.56
3962,97.56
3961.75,97.56
3961.5,97.56
3961.25,97.55
3961,97.55
3960.75,97.54
3960.5,97.54
3960.25,97.55
3960,97.55
3959.75,97.56
3959.5,97.56
3959.25,97.56
3959,97.56
3958.75,97.56
3958.5,97.56
3958.25,97.56
3958,97.56
3957.75,97.56
3957.5,97.57
3957.25,97.57
3957,97.58
3956.75,97.58
3956.5,97.57
3956.25,97.56
3956,97.56
3955.75,97.56
3955.5,97.56
3955.25,97.56
3955,97.56
3954.75,97.56
3954.5,97.56
3954.25,97.56
3954,97.56
3953.75,97.56
3953.5,97.56
3953.25,97.56
3953,97.56
3952.75,97.56
3952.5,97.56
3952.25,97.56
3952,97.56
3951.75,97.56
3951.5,97.56
3951.25,97.56
3951,97.56
3950.75,97.56
3950.5,97.55
3950.25,97.55
3950,97.54
3949.75,97.53
3949.5,97.53
3949.25,97.53
3949,97.53
3948.75,97.54
3948.5,97.54
3948.25,97.54
3948,97.54
3947.75,97.53
3947.5,97.53
3947.25,97.54
3947,97.54
3946.75,97.55
3946.5,97.55
3946.25,97.55
3946,97.55
3945.75,97.55
3945.5,97.55
3945.25,97.54
3945,97.54
3944.75,97.54
3944.5,97.55
3944.25,97.55
3944,97.55
3943.75,97.55
3943.5,97.55
3943.25,97.54
3943,97.53
3942.75,97.53
3942.5,97.53
3942.25,97.54
3942,97.55
3941.75,97.55
3941.5,97.55
3941.25,97.55
3941,97.55
3940.75,97.55
3940.5,97.55
3940.25,97.55
3940,97.55
3939.75,97.55
3939.5,97.56
3939.25,97.56
3939,97.56
3938.75,97.57
3938.5,97.57
3938.25,97.57
3938,97.57
3937.75,97.57
3937.5,97.56
3937.25,97.57
3937,97.57
3936.75,97.57
3936.5,97.57
3936.25,97.57
3936,97.57
3935.75,97.57
3935.5,97.56
3935.25,97.56
3935,97.55
3934.75,97.55
3934.5,97.55
3934.25,97.55
3934,97.55
3933.75,97.54
3933.5,97.54
3933.25,97.54
3933,97.54
3932.75,97.54
3932.5,97.54
3932.25,97.55
3932,97.54
3931.75,97.53
3931.5,97.53
3931.25,97.54
3931,97.54
3930.75,97.55
3930.5,97.55
3930.25,97.55
3930,97.55
3929.75,97.55
3929.5,97.55
3929.25,97.55
3929,97.55
3928.75,97.55
3928.5,97.56
3928.25,97.56
3928,97.56
3927.75,97.55
3927.5,97.55
3927.25,97.55
3927,97.55
3926.75,97.54
3926.5,97.54
3926.25,97.54
3926,97.54
3925.75,97.54
3925.5,97.55
3925.25,97.55
3925,97.55
3924.75,97.55
3924.5,97.54
3924.25,97.53
3924,97.54
3923.75,97.55
3923.5,97.56
3923.25,97.56
3923,97.56
3922.75,97.55
3922.5,97.55
3922.25,97.55
3922,97.55
3921.75,97.55
3921.5,97.55
3921.25,97.55
3921,97.55
3920.75,97.55
3920.5,97.55
3920.25,97.55
3920,97.55
3919.75,97.54
3919.5,97.53
3919.25,97.52
3919,97.52
3918.75,97.53
3918.5,97.54
3918.25,97.54
3918,97.54
3917.75,97.54
3917.5,97.54
3917.25,97.54
3917,97.54
3916.75,97.54
3916.5,97.54
3916.25,97.55
3916,97.55
3915.75,97.56
3915.5,97.56
3915.25,97.56
3915,97.56
3914.75,97.57
3914.5,97.58
3914.25,97.58
3914,97.59
3913.75,97.59
3913.5,97.58
3913.25,97.58
3913,97.58
3912.75,97.58
3912.5,97.58
3912.25,97.58
3912,97.58
3911.75,97.59
3911.5,97.59
3911.25,97.59
3911,97.6
3910.75,97.59
3910.5,97.59
3910.25,97.58
3910,97.59
3909.75,97.59
3909.5,97.6
3909.25,97.6
3909,97.6
3908.75,97.6
3908.5,97.6
3908.25,97.59
3908,97.59
3907.75,97.58
3907.5,97.58
3907.25,97.57
3907,97.55
3906.75,97.54
3906.5,97.53
3906.25,97.53
3906,97.53
3905.75,97.52
3905.5,97.51
3905.25,97.5
3905,97.5
3904.75,97.49
3904.5,97.48
3904.25,97.48
3904,97.47
3903.75,97.47
3903.5,97.47
3903.25,97.47
3903,97.47
3902.75,97.48
3902.5,97.48
3902.25,97.48
3902,97.47
3901.75,97.46
3901.5,97.46
3901.25,97.46
3901,97.46
3900.75,97.46
3900.5,97.46
3900.25,97.46
3900,97.47
3899.75,97.47
3899.5,97.48
3899.25,97.49
3899,97.49
3898.75,97.49
3898.5,97.49
3898.25,97.5
3898,97.51
3897.75,97.53
3897.5,97.55
3897.25,97.56
3897,97.56
3896.75,97.57
3896.5,97.57
3896.25,97.58
3896,97.58
3895.75,97.58
3895.5,97.58
3895.25,97.58
3895,97.58
3894.75,97.59
3894.5,97.59
3894.25,97.58
3894,97.58
3893.75,97.56
3893.5,97.55
3893.25,97.55
3893,97.55
3892.75,97.54
3892.5,97.54
3892.25,97.54
3892,97.54
3891.75,97.54
3891.5,97.55
3891.25,97.55
3891,97.55
3890.75,97.55
3890.5,97.55
3890.25,97.55
3890,97.55
3889.75,97.56
3889.5,97.56
3889.25,97.57
3889,97.57
3888.75,97.57
3888.5,97.57
3888.25,97.56
3888,97.56
3887.75,97.55
3887.5,97.54
3887.25,97.54
3887,97.53
3886.75,97.52
3886.5,97.52
3886.25,97.52
3886,97.53
3885.75,97.53
3885.5,97.53
3885.25,97.53
3885,97.53
3884.75,97.53
3884.5,97.53
3884.25,97.53
3884,97.54
3883.75,97.54
3883.5,97.54
3883.25,97.54
3883,97.54
3882.75,97.54
3882.5,97.53
3882.25,97.53
3882,97.53
3881.75,97.53
3881.5,97.52
3881.25,97.52
3881,97.51
3880.75,97.51
3880.5,97.51
3880.25,97.51
3880,97.51
3879.75,97.52
3879.5,97.53
3879.25,97.54
3879,97.55
3878.75,97.56
3878.5,97.56
3878.25,97.57
3878,97.57
3877.75,97.57
3877.5,97.58
3877.25,97.58
3877,97.58
3876.75,97.57
3876.5,97.57
3876.25,97.56
3876,97.56
3875.75,97.55
3875.5,97.55
3875.25,97.55
3875,97.55
3874.75,97.55
3874.5,97.55
3874.25,97.55
3874,97.54
3873.75,97.54
3873.5,97.54
3873.25,97.54
3873,97.53
3872.75,97.53
3872.5,97.53
3872.25,97.53
3872,97.52
3871.75,97.52
3871.5,97.51
3871.25,97.51
3871,97.5
3870.75,97.5
3870.5,97.49
3870.25,97.49
3870,97.49
3869.75,97.49
3869.5,97.5
3869.25,97.5
3869,97.51
3868.75,97.52
3868.5,97.52
3868.25,97.52
3868,97.52
3867.75,97.53
3867.5,97.53
3867.25,97.54
3867,97.54
3866.75,97.54
3866.5,97.54
3866.25,97.53
3866,97.53
3865.75,97.53
3865.5,97.53
3865.25,97.53
3865,97.53
3864.75,97.52
3864.5,97.51
3864.25,97.51
3864,97.51
3863.75,97.51
3863.5,97.52
3863.25,97.53
3863,97.54
3862.75,97.54
3862.5,97.55
3862.25,97.55
3862,97.56
3861.75,97.56
3861.5,97.56
3861.25,97.56
3861,97.57
3860.75,97.58
3860.5,97.59
3860.25,97.6
3860,97.6
3859.75,97.59
3859.5,97.59
3859.25,97.59
3859,97.59
3858.75,97.59
3858.5,97.59
3858.25,97.59
